,complexTypeName,complexType,complexName,complexNo,totalHouseHoldCount,totalDongCount,useApproveYmd,minArea,maxArea,minPrice,maxPrice,minLeasePrice,maxLeasePrice,leasePerDealRate,isaleDealRestrictionCode,rebuildMembershipTransYn,livingResidenceYn,latitude,longitude
0,아파트,A01,한강우성,87,355,2,19931221,103.99,103.99,125000,155000,65000,80000,0.0,N,N,N,37.532866,127.065544
0,아파트,A01,한강이레,14361,17,1,20031010,34.25,94.77,0,0,0,0,0.0,N,N,N,37.529645,127.075281
0,아파트,A01,한강현대,2998,204,2,19931120,98.32,98.32,108000,145000,0,0,0.0,N,N,N,37.53309,127.066605
0,아파트,A01,한라,99,329,2,19960831,98.77,157.97,89000,140000,65000,65000,0.0,N,N,N,37.535427,127.070378
0,아파트,A01,한솔리베르,3343,185,1,20020124,78.57,106.94,93000,145000,0,0,0.0,N,N,N,37.528087,127.084679
0,아파트,A01,한영그린빌(도시형),153966,10,1,20150818,50.07,56.43,0,0,0,0,0.0,N,N,N,37.52948,127.07617
0,아파트,A01,한영해시안,109896,43,1,20150212,46.94,85.34,0,0,0,0,0.0,N,N,N,37.539814,127.063409
0,아파트,A01,현대6차,1253,178,1,19990203,85.39,141.09,105000,140000,77000,90000,0.0,N,N,N,37.533041,127.071807
0,아파트,A01,현대강변,101,208,2,19911210,93.74,94.7,105000,135000,0,0,0.0,N,N,N,37.528446,127.085625
0,아파트,A01,현대빌라트,3442,18,1,19930804,147.2,147.2,0,0,0,0,0.0,N,N,N,37.528141,127.08004
0,아파트,A01,호반써밋자양(주상복합),125278,305,2,202108,55.1,114.29,84000,183000,60000,110000,0.0,N,N,N,37.537587,127.068643
0,아파트,A01,광남캐스빌(646-10),14374,15,1,20021107,38.06,87.31,0,0,0,0,0.0,N,N,N,37.558913,127.079073
0,아파트,A01,"광남타운(230-11,주상복합)",118737,19,1,20020429,87.86,105.63,60000,60000,0,0,0.0,N,N,N,37.564138,127.080508
0,아파트,A01,광덕,10854,55,1,20021121,95.64,103.96,77000,77000,45600,50000,0.0,N,N,N,37.56847,127.07925
0,아파트,A01,그랑,22127,11,1,20030625,52.77,105.94,0,0,0,0,0.0,N,N,N,37.558856,127.083645
0,아파트,A01,그린트리,17691,18,1,20040210,96.54,161.87,0,0,0,0,0.0,N,N,N,37.556213,127.085274
0,아파트,A01,넥스트플래닛(도시형),127501,20,1,20190624,28.48,44.49,0,0,0,0,0.0,N,N,N,37.562893,127.08118
0,아파트,A01,대광그린,23685,11,1,20040324,73.76,122.62,57000,57000,0,0,0.0,N,N,N,37.5555,127.08632
0,아파트,A01,대성예가(도시형),151957,10,1,20160406,31.95,58.57,0,0,0,0,0.0,N,N,N,37.558635,127.082554
0,아파트,A01,대영(133-7),14411,38,2,20011219,88.41,204.17,65000,65000,0,0,0.0,N,N,N,37.556324,127.084413
0,아파트,A01,대영(68-6),112753,10,1,20021213,65.9,67.84,50000,50000,0,0,0.0,N,N,N,37.558785,127.091581
0,아파트,A01,동방프라자(주상복합),8629,18,1,19961228,87.17,140.29,0,0,0,0,0.0,N,N,N,37.57084,127.08105
0,아파트,A01,두리,27295,18,1,20040402,81.25,94.7,0,0,0,0,0.0,N,N,N,37.557484,127.084161
0,아파트,A01,마인하임158(도시형),124018,24,1,20181025,20.61,33.09,0,0,0,0,0.0,N,N,N,37.557838,127.08067
0,아파트,A01,마인하임648(주상복합),117147,12,1,20170308,33.68,62.17,0,0,0,0,0.0,N,N,N,37.55832,127.079502
0,아파트,A01,모두스타빌(도시형),143461,13,1,20210602,34.01,57.67,0,0,0,0,0.0,N,N,N,37.556972,127.083994
0,아파트,A01,미래하우스(도시형),149103,10,1,20160725,32.17,51.32,0,0,0,0,0.0,N,N,N,37.562728,127.078085
0,아파트,A01,바움7(도시형),149580,9,1,20150916,38.3,77.81,0,0,0,0,0.0,N,N,N,37.558968,127.07881
0,아파트,A01,삼민,3189,36,1,19950829,56.42,99.79,43000,43000,0,0,0.0,N,N,N,37.56313,127.083752
0,아파트,A01,삼보글로벌,24452,36,2,20031229,49.25,101.18,0,0,0,0,0.0,N,N,N,37.55967,127.08033
0,아파트,A01,삼보드림,108401,18,1,20030217,90.28,186.98,0,0,0,0,0.0,N,N,N,37.555989,127.092362
0,아파트,A01,삼성로얄,17080,44,3,20020411,61.15,94.6,57000,63000,0,0,0.0,N,N,N,37.55455,127.09241
0,아파트,A01,삼성베스트빌,120605,18,1,20180320,53.19,55.74,56000,56000,0,0,0.0,N,N,N,37.568837,127.078777
0,아파트,A01,성원,8572,91,1,19980410,81.8,128.32,55000,67000,0,0,0.0,N,N,N,37.571379,127.079587
0,아파트,A01,신성그랜드타워(주상복합),9468,18,1,19960629,159.49,196.21,96000,96000,0,0,0.0,N,N,N,37.565058,127.080511
0,아파트,A01,아뜰리에(도시형),123321,29,1,20181220,19.7,44.37,0,0,0,0,0.0,N,N,N,37.55695,127.081753
0,아파트,A01,아스하임(도시형),124298,9,1,20171127,23.45,36.29,0,0,0,0,0.0,N,N,N,37.557463,127.082176
0,아파트,A01,아크로빌(도시형),116244,19,2,20160630,33.4,69.78,0,0,0,0,0.0,N,N,N,37.563631,127.085559
0,아파트,A01,에스케이,9467,182,3,19991130,84.04,139.9,58000,115000,0,0,0.0,N,N,N,37.569009,127.086601
0,아파트,A01,에이블(도시형),148948,20,1,20220609,28.14,37.33,0,0,0,0,0.0,N,N,N,37.561527,127.080962
0,아파트,A01,에이탑,17427,12,1,20030403,62.26,89.34,0,0,0,0,0.0,N,N,N,37.568026,127.085232
0,아파트,A01,엘림퍼스트중곡,143742,21,1,20210804,62.09,64.28,59900,59900,0,0,0.0,N,N,N,37.566397,127.078019
0,아파트,A01,예다움,119823,19,1,20040426,97.31,156.67,0,0,0,0,0.0,N,N,N,37.554702,127.092174
0,아파트,A01,욱현,12955,19,1,20020320,79.93,134.29,0,0,0,0,0.0,N,N,N,37.555874,127.090571
0,아파트,A01,원봉(도시형),151077,12,1,20190503,37.39,106.87,0,0,0,0,0.0,N,N,N,37.559191,127.081862
0,아파트,A01,웰빙,128948,19,1,20070508,96.15,97.73,66000,66000,0,0,0.0,N,N,N,37.562013,127.085489
0,아파트,A01,정원하이빌(도시형),142654,10,1,20201124,37.87,50.27,0,0,0,0,0.0,N,N,N,37.559429,127.089564
0,아파트,A01,주성아우라,107356,19,1,20090729,72.63,77.66,0,0,0,0,0.0,N,N,N,37.555625,127.086063
0,아파트,A01,주성테라팰리스2차(도시형),118417,14,1,20170928,35.58,64.68,0,0,0,0,0.0,N,N,N,37.560598,127.076859
0,아파트,A01,중곡,1060,270,6,19760519,48.46,61.35,43000,65000,0,0,0.0,N,N,N,37.566605,127.078684
0,아파트,A01,중곡트라움(도시형),116203,12,1,20170116,34.41,60.09,0,0,0,0,0.0,N,N,N,37.562015,127.07626
0,아파트,A01,진흥아르미,23278,18,1,20050805,105.59,105.74,57000,57000,0,0,0.0,N,N,N,37.562401,127.075759
0,아파트,A01,청운명가(도시형),150957,12,1,20220114,33.97,67.72,0,0,0,0,0.0,N,N,N,37.566447,127.082665
0,아파트,A01,테라팰리스중곡Ⅰ,119599,24,1,20171227,76.8,85.38,0,0,0,0,0.0,N,N,N,37.560351,127.076885
0,아파트,A01,테미뷰토피아(도시형),150958,10,1,20220208,36.39,57.37,0,0,0,0,0.0,N,N,N,37.564097,127.085317
0,아파트,A01,파크홈2차(도시형),152154,10,1,20160120,26.9,43.7,0,0,0,0,0.0,N,N,N,37.567099,127.079716
0,아파트,A01,하이브Ⅲ(도시형),112672,82,1,20121109,19.83,30.76,14500,14500,0,0,0.0,N,N,N,37.554575,127.087841
0,아파트,A01,한영해시안,117504,18,1,20170425,64.59,65.83,0,0,0,0,0.0,N,N,N,37.564449,127.076964
0,아파트,A01,현대하이츠,17082,69,4,19900522,87.96,134.75,0,0,0,0,0.0,N,N,N,37.556178,127.093112
0,아파트,A01,호동,19007,19,1,20020522,82.27,99.21,56000,59000,37500,37500,0.0,N,N,N,37.561467,127.0767
0,아파트,A01,KY동부빌(도시형),107500,20,2,20130625,65.99,65.99,53000,53000,0,0,0.0,N,N,N,37.546914,127.069092
0,아파트,A01,광진스위트엠,128344,48,1,202008,102.28,133.87,95000,100000,0,0,0.0,N,N,N,37.545881,127.074547
0,아파트,A01,광진안틸리아(도시형),131982,40,2,20200410,29.4,31.11,0,0,32000,32000,0.0,N,N,N,37.547232,127.067947
0,아파트,A01,광진코지웰(도시형),105911,296,1,20141103,19.35,34.77,13500,22500,0,0,0.0,N,N,N,37.547116,127.071885
0,아파트,A01,그린시티빌(도시형),150961,12,1,20140617,40.29,47.17,0,0,0,0,0.0,N,N,N,37.543802,127.071625
0,아파트,A01,더메종(도시형),146421,99,1,20220318,17.97,29.12,0,0,23000,23000,0.0,N,N,N,37.547571,127.067317
0,아파트,A01,더하우스인(주상복합),124009,16,1,20181126,29.6,35.2,30000,30000,0,0,0.0,N,N,N,37.54715,127.06831
0,아파트,A01,동도센트리움캠퍼스파크(도시형),117393,181,1,20190927,20.93,28.51,19500,23500,0,0,0.0,N,N,N,37.547706,127.07097
0,아파트,A01,디아이빌(주상복합),107495,8,1,20121228,72.72,72.72,60000,60000,0,0,0.0,N,N,N,37.547067,127.069045
0,아파트,A01,브라운스톤화양(주상복합),17695,67,1,20061031,73.35,107.04,66000,72000,0,0,0.0,N,N,N,37.54799,127.068366
0,아파트,A01,비다펠리즈(주상복합),141479,16,1,20210210,19.74,22.12,0,0,24000,24000,0.0,N,N,N,37.54455,127.072486
0,아파트,A01,삼원제우스(도시형),145672,27,2,20160808,37.29,42.6,0,0,0,0,0.0,N,N,N,37.543299,127.065092
0,아파트,A01,세종에버그린(도시형),121282,40,2,20180528,29.05,31.95,30900,33000,28000,28000,0.0,N,N,N,37.546577,127.069264
0,아파트,A01,신원리브웰(도시형),136165,28,1,20190725,23.59,31.46,19500,19500,0,0,0.0,N,N,N,37.545677,127.073681
0,아파트,A01,씨즈건대힐스,119123,1,1,20170929,108.51,108.51,0,0,0,0,0.0,N,N,N,37.546204,127.074654
0,아파트,A01,씨즈건대힐스(도시형),116717,148,1,20170929,23.02,34.89,16000,18000,18900,18900,0.0,N,N,N,37.546199,127.074646
0,아파트,A01,아스하임(도시형),112539,29,1,20160428,19.51,33.18,0,0,0,0,0.0,N,N,N,37.547147,127.070062
0,아파트,A01,아스하임4차(도시형),117799,162,1,20181116,19.66,39.84,20000,48000,0,0,0.0,N,N,N,37.547477,127.072105
0,아파트,A01,엘리시아1차(도시형),137559,28,1,20210713,18.86,21.43,0,0,0,0,0.0,N,N,N,37.545398,127.07386
